#  cores, N, px, py, iter, T_p, Gflops, Linf, L2
1, 400,1, 1, 2000,19.4, 0.4618,    9.92447e-01, 7.16013e-01
2, 400,1, 2, 2000, 9.728, 0.921,    9.92447e-01, 7.16013e-01
4, 400,1, 4, 2000, 4.886, 1.834,    9.92447e-01, 7.16013e-01
4, 400,4, 1, 2000,  4.932, 1.817,    9.92447e-01, 7.16013e-01
8, 400,1, 8, 2000,  2.465, 3.635,    9.92447e-01, 7.16013e-01
24, 1800,4, 6,2000,  1.567, 115.8,    9.96750e-01, 6.48606e-01
48, 1800,6, 8,2000,  0.7971, 227.6,    9.96750e-01, 6.48606e-01
48, 1800,8, 12, 2000, 0.4235, 428.4,    9.96750e-01, 6.48606e-01
48, 1800,2, 24,  2000,  0.7991, 227,    9.96750e-01, 6.48606e-01 
96, 1800,    2, 48,  2000,  0.4173, 434.7,    9.96750e-01, 6.48606e-01 
192, 1800,    2, 96,   2000,  0.3621, 501.1,    9.96750e-01, 6.48606e-01
96, 8000,    8, 12,    2000,  11.67, 307,    9.99936e-01, 6.74579e-01
192, 8000,    12, 16,  2000,  6.968, 514.3,    9.99936e-01, 6.74579e-01
240, 8000,    10, 24,  2000,  5.753, 623,    9.99936e-01, 6.74579e-01
384, 8000,    16, 24,  2000,  2.908, 1232,    9.99936e-01, 6.74579e-01
480, 8000,   20, 24,   2000,  2.08, 1723,    9.99936e-01, 6.74579e-01
960, 8000,    20, 48,  2000,  1.011, 3546,    9.99936e-01, 6.74579e-01
192, 1800,   2, 96,    2000,  0.3621, 501.1,    9.96750e-01, 6.48606e-01
384, 1800,    2, 192,      2000,  0.1267, 1432,    9.96750e-01, 6.48606e-01      
480, 1800,    2, 240,       2000,  0.1045, 1737,    9.96750e-01, 6.48606e-01 
960, 1800,    2, 480,       2000,  0.06975, 2601,    9.96750e-01, 6.48606e-01   

 
 
